"","region","total","invalid","valid","Baburin","Grudinin","Zhirinovsky","Putin","Sobchak","Suraikin","Titov","Yavlinsky","turnout","turnout_perc","Baburin_perc","Grudinin_perc","Zhirinovsky_perc","Putin_perc","Sobchak_perc","Suraikin_perc","Titov_perc","Yavlinsky_perc"
"15","Еврейская автономная область",128844,1331,76279,501,14066,7387,52374,771,404,407,369,77610,60.2356337896992,0.64553536915346,18.1239530988275,9.51810333719881,67.4835717046772,0.993428681870893,0.520551475325345,0.524416956577761,0.475454194047159
"16","Забайкальский край",790054,5767,452268,2450,62375,45804,329911,4750,2772,2111,2095,458035,57.9751510656234,0.534893621666467,13.6179549597738,10.0001091619636,72.0274651500431,1.03703865425131,0.605193926228345,0.460881810342004,0.457388627506632
"17","Ивановская область",809832,4663,469376,4286,70211,37408,338335,7772,3526,3696,4142,474039,58.5354740242421,0.904145017604037,14.8112286119918,7.89133383540173,71.3728195359454,1.63952754942104,0.743820656106354,0.779682684336099,0.873767770162371
"18","Иркутская область",1877547,11545,1033973,5480,166540,67373,763810,12646,5240,5339,7545,1045518,55.6853170652985,0.524142099896893,15.9289462256986,6.44398279130536,73.0556527960303,1.20954397724382,0.501186971434256,0.510655961925094,0.721651851044171
"19","Кабардино-Балкарская Республика",528431,628,483932,1222,20133,5006,452480,1121,1141,1658,1171,484560,91.6978754085207,0.252187551593198,4.15490341753343,1.0331021958065,93.379560838699,0.231343899620274,0.235471355456497,0.34216608882285,0.24166253921083
"20","Калининградская область",799406,5627,491948,3395,50755,29893,379875,12640,3319,4772,7299,497575,62.2430904946923,0.682309199618148,10.2004722906095,6.00773752700598,76.3452745817213,2.54032055469025,0.667035120333618,0.95905139928654,1.46691453549716
"21","Калужская область",797897,6425,537215,4197,59802,37905,414027,8070,3943,4200,5071,543640,68.1341075351831,0.772018247369583,11.0002943124126,6.97244500036789,76.1583032889412,1.4844382311824,0.725296151865205,0.772570083143257,0.932786402766537
"22","Камчатский край",239045,1920,159944,912,27432,13733,112401,2210,966,1131,1159,161864,67.7127737455291,0.563435970938566,16.9475609153363,8.48428310186329,69.4416300103791,1.36534374536648,0.596797311323086,0.698734740275787,0.716033213067761
"23","Карачаево-Черкесская Республика",292031,1101,253970,676,17819,7075,223534,1132,2533,454,747,255071,87.343809390099,0.265024248150515,6.985898044074,2.77373750838002,87.6359915474515,0.443798001340803,0.993056835155702,0.177989657781559,0.292859635160406
"24","Кемеровская область",2005066,10657,1655063,7972,101153,83777,1422919,14002,7556,7213,10471,1665720,83.0755695822482,0.478591840165214,6.07262925341594,5.0294767427899,85.4236606392431,0.840597459356915,0.453617654827942,0.433025958744567,0.628617054486949
"25","Кировская область",1055239,7455,654302,5157,90650,63771,465948,11034,5655,5784,6303,661757,62.7115752924219,0.779289074388333,13.6983817322673,9.63661887973984,70.410739893949,1.66737941570697,0.854543284015129,0.874036844340143,0.952464424252407
"26","Костромская область",532700,3048,319229,2665,52135,29834,221449,4852,2309,2879,3106,322277,60.4987798010137,0.826928387691334,16.1770774830348,9.25725385305188,68.7138703661757,1.50553716213071,0.716464407947201,0.893330892368987,0.963767194059769
"27","Краснодарский край",4049575,26090,3125883,15876,316316,144008,2564012,30697,17100,21413,16461,3151973,77.8346616620263,0.503684517602149,10.0354920552936,4.56882086236145,81.3462551868306,0.973897936308465,0.542517337553336,0.679352266025121,0.52224432125529
"28","Красноярский край",2100869,14327,1252656,8072,161925,93628,941151,20415,8479,7761,11225,1266983,60.3075679635427,0.637104049541312,12.7803609046057,7.38983869554682,74.2828435740653,1.61130812331341,0.66922760605312,0.612557548128112,0.885962952936227
"29","Курганская область",704338,3873,430913,2682,59425,38002,318703,4590,3020,2178,2313,434786,61.7297377111557,0.616855188529529,13.6676433923815,8.74039182494377,73.3011182512776,1.05569176560423,0.694594582162259,0.500936092698477,0.531985850510366
"30","Курская область",923309,5207,590066,3421,56948,33326,482257,5631,3316,2640,2527,595273,64.4716990736579,0.574694299926252,9.56670300853558,5.59843970749555,81.0144253140996,0.945952529343679,0.557055334275198,0.44349399351222,0.424511106668705
"31","Ленинградская область",1331507,10539,879787,6136,78545,48465,703423,18715,5655,8129,10719,890326,66.8660397579585,0.689185758924259,8.82204945154921,5.44351170245506,79.007352363067,2.10203902840083,0.635160604093332,0.913036348483589,1.20394102834243
"32","Липецкая область",929445,6225,664532,3834,67299,33739,542199,6714,3994,3259,3494,670757,72.1674762896137,0.571592991202477,10.0332907446363,5.02998850552436,80.8338936455378,1.00095861839683,0.595446637157719,0.485868951050828,0.520903993547589
"33","Магаданская область",102626,1108,72671,417,10364,6185,53341,1007,408,458,491,73779,71.8911386977959,0.565201480095962,14.0473576491956,8.38314425514035,72.2983504791336,1.36488702747394,0.553002887000366,0.620772848642568,0.665501023326421
"34","Московская область",5829578,48175,3655338,26448,476897,203869,2758911,78893,24523,36133,49664,3703513,63.5296928868608,0.714132770696363,12.8768820306558,5.50474643939416,74.4944327183407,2.13022068506307,0.662155094365809,0.97564123576723,1.340997047938
"35","Мурманская область",599851,4915,392892,2827,35240,31434,303796,8931,2578,3426,4660,397807,66.3176355461606,0.710646117338307,8.85856709409337,7.90182173767681,76.3676858376047,2.24505853340942,0.64805295030002,0.861221647683424,1.17142232288522
"36","Ненецкий автономный округ",39470,267,24840,185,3397,2482,17863,448,135,172,158,25107,63.6103369647834,0.736846297845222,13.5300912096228,9.88568925000996,71.1474887481579,1.78436292667384,0.537698649778946,0.685067909347991,0.629306567889433
"37","Нижегородская область",2618865,15107,1711871,12037,183465,111744,1334417,27728,12320,14053,16107,1726978,65.9437580784042,0.696997877216734,10.6234705942982,6.47049354421423,77.2689055679922,1.6055792256763,0.713384883883871,0.81373358548864,0.932669669214084
"38","Новгородская область",502905,3448,284614,2345,36661,22000,209286,5303,2420,2456,4143,288062,57.279605492091,0.814060861897786,12.726774097243,7.63724475980865,72.6531094000597,1.84092313460297,0.840096923578952,0.852594233185911,1.4382320472676
"39","Новосибирская область",2159912,16625,1287634,8473,213707,85790,926858,21067,8005,9080,14654,1304259,60.3848212334577,0.649640907212448,16.3853191735691,6.57768127342805,71.0639527885182,1.61524666496455,0.613758463618039,0.696180743241948,1.12354984707792
"40","Омская область",1535403,12487,915993,10496,189303,57901,624934,14282,5653,5832,7592,928480,60.4714202069424,1.13044976736171,20.3884844046183,6.23610632431501,67.3072117870067,1.53821299327934,0.608844563156988,0.628123384456316,0.817680510080993
"41","Оренбургская область",1518357,10938,992044,6137,155156,67777,731838,11539,7846,6003,5748,1002982,66.057060361957,0.611875387594194,15.4694700403397,6.75754898891505,72.9662147476226,1.15046930054577,0.782267278974099,0.598515227591323,0.573091042511231
"42","Орловская область",631300,4670,450901,3210,55482,27617,349743,5777,3187,3187,2698,455571,72.1639474101061,0.704610258335144,12.1785627267758,6.06206277396937,76.7702509597845,1.26807896024988,0.699561649007509,0.699561649007509,0.592223824606922
"43","Пензенская область",1061806,6740,775898,4616,78135,43823,625928,9048,5614,4037,4697,782638,73.7081915152109,0.589800137483741,9.98354283845149,5.59939588928726,79.9766942060058,1.1560900441839,0.717317584885988,0.515819574311495,0.600149749948252
"44","Пермский край",1982962,18203,1299703,9624,138977,90132,993076,28963,10154,11859,16918,1317906,66.4614853940721,0.730249350105394,10.5452892694927,6.83903100828132,75.3525668750275,2.19765294338139,0.770464661364316,0.899836558904808,1.28370308656308
"45","Приморский край",1478748,14571,888497,6605,193166,63754,589384,15079,5814,6676,8019,903068,61.0697698323176,0.731395642410095,21.3899728481133,7.05971200396869,65.2646312348572,1.66975244389127,0.643805339132823,0.739257730314882,0.887972998711061
"46","Псковская область",527477,3165,341396,2952,39407,23688,258584,5794,2782,2656,5533,344561,65.3224690365646,0.856742347508859,11.4368718456239,6.87483493488816,75.0473791288045,1.68156001404686,0.807404204190259,0.770835933260003,1.60581145283419
"47","Республика Адыгея (Адыгея)",336720,2647,247556,1165,28711,8923,203095,2060,1317,1088,1197,250203,74.3059515324305,0.465621915005016,11.4750822332266,3.56630416102125,81.1720882643294,0.823331454858655,0.526372585460606,0.434846904313697,0.478411529837772
"48","Республика Алтай",158891,974,101938,446,21259,5376,72674,929,431,340,483,102912,64.7689296435921,0.433379975124378,20.6574549129353,5.22388059701492,70.6176150497513,0.902712997512438,0.418804415422886,0.330379353233831,0.46933302238806
"49","Республика Башкортостан",3045698,18506,2278596,15845,277797,115635,1784626,28983,20429,15891,19390,2297102,75.4212006574519,0.689782169011215,12.0933680785616,5.03395147451006,77.6903245915941,1.26172020223743,0.889337957130332,0.691784692190421,0.844107053147836
"50","Республика Бурятия",603265,5980,447623,1746,66867,29087,334381,7618,2471,1822,3631,453603,75.1913338251017,0.384918089166077,14.7413046210012,6.41243554385663,73.7166641314101,1.67944215536493,0.544749483579253,0.401672828442493,0.800479714640335
"51","Республика Дагестан",1631826,6265,1420661,1781,103942,3830,1295128,3741,4395,5379,2465,1426926,87.443514198205,0.124813760489332,7.28433009139927,0.268409153663189,90.7635014009136,0.262171969674671,0.308004759882433,0.376964187350991,0.172748972266256
